Journal,DisciplinesString
sleep medicine research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki biologiczne
slovak raptor journal,architektura i urbanistyka;technologia żywności i żywienia;nauki biologiczne
slovenska archeologia,archeologia;architektura i urbanistyka
slovenska rec slovak speech,językoznawstwo
slovenski jezik,językoznawstwo
slovo,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki teologiczne
small gtpases,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
smithsonian,"nauki o kulturze i religii;nauki o sztuce;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;nauki farmaceutyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;nauki prawne;nauki biologiczne;nauki o ziemi i środowisku"
smt surface mount technology magazine,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna"
soccer & society,nauki o kulturze i religii;nauki o kulturze fizycznej;nauki socjologiczne
social and economic studies,nauki o zdrowiu;ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne
social and environmental accountability journal,nauki o zarządzaniu i jakości
social currents,nauki o zdrowiu;nauki socjologiczne
social medicine,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
social sciences,nauki o zdrowiu;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
social security bulletin,nauki o zdrowiu;nauki o bezpieczeństwie
social work & society,nauki o zdrowiu;nauki o bezpieczeństwie;nauki socjologiczne
social work with groups,nauki o zdrowiu;nauki socjologiczne
socialism and democracy,nauki o polityce i administracji;nauki socjologiczne
socialni prace,nauki o zdrowiu;nauki socjologiczne
socialni studia,nauki o zdrowiu;nauki socjologiczne
sociedade e cultura,nauki o kulturze i religii;nauki o zdrowiu;nauki o polityce i administracji
sociedade e estado,geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
societa e storia,historia;nauki farmaceutyczne;nauki o zdrowiu
societate si politica,filozofia;nauki o bezpieczeństwie;nauki o polityce i administracji
societes contemporaines,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
society and economy,ekonomia i finanse;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
socijalna ekologija,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne"
socijalna psihijatrija,nauki medyczne;nauki o zdrowiu;nauki socjologiczne
sociologia problemas e praticas,nauki o zdrowiu;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;nauki socjologiczne;psychologia
sociologia del lavoro,nauki o bezpieczeństwie;nauki socjologiczne
sociologia e antropologia,nauki o kulturze i religii;nauki o zdrowiu;nauki socjologiczne
sociologia e ricerca sociale,nauki o zdrowiu;nauki o bezpieczeństwie;nauki socjologiczne
sociologia urbana e rurale,architektura i urbanistyka;nauki o zdrowiu;rolnictwo i ogrodnictwo;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
sociologias,nauki o zdrowiu;nauki socjologiczne
sociological focus,nauki o zdrowiu;nauki socjologiczne
sociological methodology,nauki o zarządzaniu i jakości;nauki socjologiczne
sociological theory and methods,nauki o zdrowiu;nauki socjologiczne
sociologija i prostor,geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
softwarex,informatyka techniczna i telekomunikacja;informatyka
soil,rolnictwo i ogrodnictwo;nauki o ziemi i środowisku
soins aides soignantes,nauki o zdrowiu
soins gerontologie,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
"soins pediatrie, puericulture",nauki medyczne;nauki o zdrowiu
soins psychiatrie,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
soins; la revue de reference infirmiere,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
sokendai review of cultural and social studies,nauki o kulturze i religii;nauki o zdrowiu;nauki socjologiczne
songklanakarin journal of science and technology,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o zdrowiu;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;nauki prawne;astronomia;nauki biologiczne;nauki fizyczne;nauki o ziemi i środowisku"
sotsiologicheskiy zhurnal,nauki o zdrowiu;nauki socjologiczne
soudni lekarstvi,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
south african computer journal,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
south african gastroenterology review,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
south african journal of chemical engineering,inżynieria chemiczna;nauki farmaceutyczne
south african journal of plant and soil,"inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne"
south asia economic journal,ekonomia i finanse
south asian journal of business and management cases,nauki o zarządzaniu i jakości
south asian journal of human resources management,nauki o zarządzaniu i jakości
south asian popular culture,nauki o kulturze i religii;nauki o sztuce;nauki socjologiczne
south australian ornithologist,nauki biologiczne
south dakota medicine : the journal of the south dakota state medical association,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
"south of russia: ecology, development",architektura i urbanistyka;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki biologiczne
southeast asian studies,"historia;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne"
southeastern archaeology,archeologia
southeastern geology,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
southern african journal of epidemiology and infection,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
"south western journal of horticulture, biology and environment","inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne"
sovremennye problemy distantsionnogo zondirovaniya zemli iz kosmosa,inżynieria lądowa i transport;informatyka;nauki o ziemi i środowisku
sozialer fortschrift,nauki o zdrowiu;nauki o bezpieczeństwie;nauki socjologiczne
"space and culture, india",nauki o kulturze i religii;architektura i urbanistyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
space research today,astronomia
spanish journal of marketing esic,nauki o zarządzaniu i jakości
spanish journal of paleontology,nauki biologiczne;nauki o ziemi i środowisku
spanish review of financial economics,ekonomia i finanse
spatium,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
spe economics and management,ekonomia i finanse;nauki o zarządzaniu i jakości
"special report national research council, transportation research board",architektura i urbanistyka;inżynieria lądowa i transport;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości
specialty fabrics review,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne
specialusis ugdymas,nauki socjologiczne;pedagogika;psychologia
species diversity,nauki biologiczne
spectroscopy europe,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne;nauki fizyczne"
spiiras proceedings,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria mechaniczna;nauki o bezpieczeństwie;informatyka"
spine deformity,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
spirale,nauki o zdrowiu
spore,rolnictwo i ogrodnictwo;nauki biologiczne
sport mont,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
sport science,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
sport sciences for health,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
sports medicine open,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
sports orthopaedics and traumatology,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
sprachtypologie und universalienforschung stuf,językoznawstwo
sprak och stil,językoznawstwo
sprawozdania archeologiczne,archeologia;architektura i urbanistyka
springer series in chemical physics,inżynieria biomedyczna;nauki farmaceutyczne;technologia żywności i żywienia;nauki chemiczne;nauki fizyczne
springerplus,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki prawne;nauki biologiczne;nauki chemiczne;nauki o ziemi i środowisku
sri lanka journalof child health,nauki medyczne;nauki o zdrowiu
stadsgeschiedenis,historia
standardization news,inżynieria lądowa i transport;inżynieria mechaniczna
standort,inżynieria lądowa i transport;geografia społeczno ekonomiczna i gospodarka przestrzenna
stanovnistvo,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
stapp car crash journal,nauki medyczne
state legislatures,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
statistica e applicazioni,ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne;matematyka
statistical inference for stochastic processes,informatyka techniczna i telekomunikacja;ekonomia i finanse;matematyka
statistical journal of the iaos,nauki o zarządzaniu i jakości;nauki socjologiczne;matematyka
statistical methodology,informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki socjologiczne;matematyka
statistics education research journal,pedagogika;matematyka
statistics in transition,ekonomia i finanse;nauki o zarządzaniu i jakości;nauki socjologiczne;matematyka
"statistics, optimization and information computing","automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;ekonomia i finanse;nauki o zarządzaniu i jakości;informatyka;matematyka"
stato e mercato,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
steel in translation,inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne
stem cell investigation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
"stem , spraak en taalpathologie",językoznawstwo;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
stilt,technologia żywności i żywienia;nauki biologiczne
stomatologija issued by public institution 'odontologijos studija' [et al],inżynieria biomedyczna
stomatologiya,inżynieria biomedyczna;nauki medyczne
"storytelling, self, society",historia;literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne
strategic comments,nauki o bezpieczeństwie;nauki o polityce i administracji
strategic direction,nauki o zarządzaniu i jakości
strategic planning for energy and the environment,"architektura i urbanistyka;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o zarządzaniu i jakości;nauki biologiczne;nauki chemiczne"
strategy and leadership,nauki o zarządzaniu i jakości
stratum plus,nauki o kulturze i religii;architektura i urbanistyka
stred,nauki o polityce i administracji
street art and urban creativity,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka
stroke and vascular neurology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
structural engineer,architektura i urbanistyka;inżynieria lądowa i transport;inżynieria mechaniczna
studi danteschi,literaturoznawstwo
studi emigrazione,historia;nauki o kulturze i religii;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
studi sulla questione criminale,nauki prawne
studia anglica posnaniensia,językoznawstwo;literaturoznawstwo
studia antiqua et archaeologica,archeologia;historia;nauki prawne
studia celtica,archeologia;historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
studia hibernica,historia;językoznawstwo;literaturoznawstwo
studia historica nitriensia,archeologia;historia;nauki o sztuce
studia historica slovenica,historia;prawo kanoniczne
studia islamica,archeologia;historia;językoznawstwo;nauki o kulturze i religii;nauki prawne
studia judaica,historia;literaturoznawstwo;nauki o kulturze i religii;architektura i urbanistyka;nauki socjologiczne;prawo kanoniczne;nauki teologiczne
studia linguistica universitatis iagellonicae cracoviensis,językoznawstwo
studia liturgica,prawo kanoniczne;nauki teologiczne
studia mythologica slavica,historia;literaturoznawstwo;nauki o kulturze i religii
studia neoaristotelica,filozofia
studia orientalia slovaca,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;architektura i urbanistyka;nauki o zdrowiu;nauki o polityce i administracji;prawo kanoniczne
studia paedagogica,pedagogika
studia pneumologica et phthiseologica,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
studia poliana,filozofia;prawo kanoniczne
studia politica,historia;nauki o polityce i administracji
studia regionalne i lokalne,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne;prawo kanoniczne"
studia romanica posnaniensia,językoznawstwo;literaturoznawstwo
studia slavica,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
studia socjologiczne,nauki o kulturze i religii;nauki o kulturze fizycznej;nauki o zdrowiu;nauki prawne;nauki socjologiczne;pedagogika
studia universitatis babes bolyai sociologia,nauki o bezpieczeństwie;nauki socjologiczne
"studia universitatis vasile goldis arad, seria stiintele vietii","inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne"
